#separator:tab
#html:false
Genus_cof_DNP	back_card
Sophora	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2958901     https://en.wikipedia.org/wiki/Sophora     https://www.merriam-webster.com/dictionary/Sophora
Dolichopentas	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Rubiaceae     https://www.gbif.org/species/9473934     https://en.wikipedia.org/wiki/Dolichopentas     https://www.merriam-webster.com/dictionary/Dolichopentas
Carpinus	Plantae - Tracheophyta - Magnoliopsida - Fagales - Betulaceae     https://www.gbif.org/species/2875770     https://en.wikipedia.org/wiki/Carpinus     https://www.merriam-webster.com/dictionary/Carpinus
Cedrelopsis	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/7286415     https://en.wikipedia.org/wiki/Cedrelopsis     https://www.merriam-webster.com/dictionary/Cedrelopsis
Magnolia	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Magnoliaceae     https://www.gbif.org/species/2888195     https://en.wikipedia.org/wiki/Magnolia     https://www.merriam-webster.com/dictionary/Magnolia
Myrcianthes	Plantae - Tracheophyta - Magnoliopsida - Myrtales - Myrtaceae     https://www.gbif.org/species/3188150     https://en.wikipedia.org/wiki/Myrcianthes     https://www.merriam-webster.com/dictionary/Myrcianthes
Bunchosia	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Malpighiaceae     https://www.gbif.org/species/7404976     https://en.wikipedia.org/wiki/Bunchosia     https://www.merriam-webster.com/dictionary/Bunchosia
NA	Plantae - Tracheophyta - Magnoliopsida - Piperales - Piperaceae     https://www.gbif.org/species/NA     https://en.wikipedia.org/wiki/NA     https://www.merriam-webster.com/dictionary/NA
Passiflora	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Passifloraceae     https://www.gbif.org/species/2874172     https://en.wikipedia.org/wiki/Passiflora     https://www.merriam-webster.com/dictionary/Passiflora
Citrus	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/3190155     https://en.wikipedia.org/wiki/Citrus     https://www.merriam-webster.com/dictionary/Citrus
Ruta	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/3190380     https://en.wikipedia.org/wiki/Ruta     https://www.merriam-webster.com/dictionary/Ruta
Ferula	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/3034682     https://en.wikipedia.org/wiki/Ferula     https://www.merriam-webster.com/dictionary/Ferula
Hoya	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/3170437     https://en.wikipedia.org/wiki/Hoya     https://www.merriam-webster.com/dictionary/Hoya
Cardamine	Plantae - Tracheophyta - Magnoliopsida - Brassicales - Brassicaceae     https://www.gbif.org/species/3045622     https://en.wikipedia.org/wiki/Cardamine     https://www.merriam-webster.com/dictionary/Cardamine
Ophiopogon	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/9560529     https://en.wikipedia.org/wiki/Ophiopogon     https://www.merriam-webster.com/dictionary/Ophiopogon
Kielmeyera	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Calophyllaceae     https://www.gbif.org/species/7330103     https://en.wikipedia.org/wiki/Kielmeyera     https://www.merriam-webster.com/dictionary/Kielmeyera
Uvariopsis	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3157440     https://en.wikipedia.org/wiki/Uvariopsis     https://www.merriam-webster.com/dictionary/Uvariopsis
Mallotus	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Euphorbiaceae     https://www.gbif.org/species/3062330     https://en.wikipedia.org/wiki/Mallotus     https://www.merriam-webster.com/dictionary/Mallotus
Erigeron	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3146588     https://en.wikipedia.org/wiki/Erigeron     https://www.merriam-webster.com/dictionary/Erigeron
Carduus	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3114511     https://en.wikipedia.org/wiki/Carduus     https://www.merriam-webster.com/dictionary/Carduus
Tagetes	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3088468     https://en.wikipedia.org/wiki/Tagetes     https://www.merriam-webster.com/dictionary/Tagetes
Daphniphyllum	Plantae - Tracheophyta - Magnoliopsida - Saxifragales - Daphniphyllaceae     https://www.gbif.org/species/7311235     https://en.wikipedia.org/wiki/Daphniphyllum     https://www.merriam-webster.com/dictionary/Daphniphyllum
Aristolochia	Plantae - Tracheophyta - Magnoliopsida - Piperales - Aristolochiaceae     https://www.gbif.org/species/2873978     https://en.wikipedia.org/wiki/Aristolochia     https://www.merriam-webster.com/dictionary/Aristolochia
Huperzia	Plantae - Tracheophyta - Lycopodiopsida - Lycopodiales - Lycopodiaceae     https://www.gbif.org/species/2688450     https://en.wikipedia.org/wiki/Huperzia     https://www.merriam-webster.com/dictionary/Huperzia
Carthamus	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3138214     https://en.wikipedia.org/wiki/Carthamus     https://www.merriam-webster.com/dictionary/Carthamus
Iryanthera	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Myristicaceae     https://www.gbif.org/species/3743006     https://en.wikipedia.org/wiki/Iryanthera     https://www.merriam-webster.com/dictionary/Iryanthera
Pyracantha	Plantae - Tracheophyta - Magnoliopsida - Rosales - Rosaceae     https://www.gbif.org/species/2988161     https://en.wikipedia.org/wiki/Pyracantha     https://www.merriam-webster.com/dictionary/Pyracantha
Polygala	Plantae - Tracheophyta - Magnoliopsida - Fabales - Polygalaceae     https://www.gbif.org/species/3191366     https://en.wikipedia.org/wiki/Polygala     https://www.merriam-webster.com/dictionary/Polygala
Ipomoea	Plantae - Tracheophyta - Magnoliopsida - Solanales - Convolvulaceae     https://www.gbif.org/species/2928509     https://en.wikipedia.org/wiki/Ipomoea     https://www.merriam-webster.com/dictionary/Ipomoea
Operculina	Plantae - Tracheophyta - Magnoliopsida - Solanales - Convolvulaceae     https://www.gbif.org/species/9469847     https://en.wikipedia.org/wiki/Operculina     https://www.merriam-webster.com/dictionary/Operculina
Geranium	Plantae - Tracheophyta - Magnoliopsida - Geraniales - Geraniaceae     https://www.gbif.org/species/2889949     https://en.wikipedia.org/wiki/Geranium     https://www.merriam-webster.com/dictionary/Geranium
Salvinia	Plantae - Tracheophyta - Polypodiopsida - Salviniales - Salviniaceae     https://www.gbif.org/species/7801597     https://en.wikipedia.org/wiki/Salvinia     https://www.merriam-webster.com/dictionary/Salvinia
Biebersteinia	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Biebersteiniaceae     https://www.gbif.org/species/7268536     https://en.wikipedia.org/wiki/Biebersteinia     https://www.merriam-webster.com/dictionary/Biebersteinia
Mezzettia	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3156521     https://en.wikipedia.org/wiki/Mezzettia     https://www.merriam-webster.com/dictionary/Mezzettia
Ulmus	Plantae - Tracheophyta - Magnoliopsida - Rosales - Ulmaceae     https://www.gbif.org/species/2984510     https://en.wikipedia.org/wiki/Ulmus     https://www.merriam-webster.com/dictionary/Ulmus
Linum	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Linaceae     https://www.gbif.org/species/2873855     https://en.wikipedia.org/wiki/Linum     https://www.merriam-webster.com/dictionary/Linum
Rheum	Plantae - Tracheophyta - Magnoliopsida - Caryophyllales - Polygonaceae     https://www.gbif.org/species/2888863     https://en.wikipedia.org/wiki/Rheum     https://www.merriam-webster.com/dictionary/Rheum
Rhodiola	Plantae - Tracheophyta - Magnoliopsida - Saxifragales - Crassulaceae     https://www.gbif.org/species/2985687     https://en.wikipedia.org/wiki/Rhodiola     https://www.merriam-webster.com/dictionary/Rhodiola
Musa	Plantae - Tracheophyta - Liliopsida - Zingiberales - Musaceae     https://www.gbif.org/species/2760990     https://en.wikipedia.org/wiki/Musa     https://www.merriam-webster.com/dictionary/Musa
Euonymus	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/3169115     https://en.wikipedia.org/wiki/Euonymus     https://www.merriam-webster.com/dictionary/Euonymus
Melilotus	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/4924408     https://en.wikipedia.org/wiki/Melilotus     https://www.merriam-webster.com/dictionary/Melilotus
Himalaiella	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/6064498     https://en.wikipedia.org/wiki/Himalaiella     https://www.merriam-webster.com/dictionary/Himalaiella
Mucuna	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2951351     https://en.wikipedia.org/wiki/Mucuna     https://www.merriam-webster.com/dictionary/Mucuna
